model,signal,prediction,task,weight,score_mean,score_ci,arousal_mean,arousal_ci,scores_raw,arousal_raw,frequency,cluster,game
DQN,Ordinal,Classification,Minimize,0.5,160,119.7829,0.4952,0.1199,"[50.0, 190.0, 180.0, 220.0]","[0.5, 0.5294117647058824, 0.5625, 0.3888888888888889]",Synchronized,0,platform
DQN,Ordinal,Classification,Minimize,1,57.5,72.7742,0.3917,0.4508,"[110.0, 50.0, 0.0, 70.0]","[0.5, 0.4, 0, 0.6666666666666666]",Synchronized,0,platform
DQN,Ordinal,Classification,Maximize,0,207.5,103.4295,0.3496,0.422,"[110.0, 240.0, 240.0, 240.0]","[0.6363636363636364, 0.42857142857142855, 0.0, 0.3333333333333333]",Synchronized,0,platform
DQN,Ordinal,Classification,Maximize,0.5,142.5,224.4226,0.3623,0.408,"[50.0, 220.0, 300.0, 0.0]","[0.5, 0.5789473684210527, 0.37037037037037035, 0]",Synchronized,0,platform
DQN,Ordinal,Classification,Maximize,1,170,76.8634,0.6896,0.2745,"[100.0, 190.0, 210.0, 180.0]","[0.7777777777777778, 0.5625, 0.8888888888888888, 0.5294117647058824]",Synchronized,0,platform
PPO,Ordinal,Classification,Minimize,0.5,228,125.5248,0.4824,0.1848,"[50.0, 250.0, 290.0, 260.0, 290.0]","[0.25, 0.43478260869565216, 0.64, 0.5454545454545454, 0.5416666666666666]",Synchronized,0,platform
PPO,Ordinal,Classification,Minimize,1,132,95.1312,0.4159,0.3091,"[180.0, 130.0, 0.0, 170.0, 180.0]","[0.4117647058823529, 0.45454545454545453, 0, 0.625, 0.5882352941176471]",Synchronized,0,platform
PPO,Ordinal,Classification,Maximize,0,238,99.1,0.3907,0.278,"[240.0, 270.0, 290.0, 290.0, 100.0]","[0.47619047619047616, 0.5714285714285714, 0.46153846153846156, 0.0, 0.4444444444444444]",Synchronized,0,platform
PPO,Ordinal,Classification,Maximize,0.5,232,108.0319,0.3988,0.1219,"[240.0, 90.0, 320.0, 280.0, 230.0]","[0.5, 0.25, 0.35714285714285715, 0.4583333333333333, 0.42857142857142855]",Synchronized,0,platform
PPO,Ordinal,Classification,Maximize,1,104,78.8237,0.7326,0.2454,"[40.0, 150.0, 60.0, 80.0, 190.0]","[0.6666666666666666, 0.6923076923076923, 1.0, 0.8333333333333334, 0.47058823529411764]",Synchronized,0,platform
Random,Ordinal,Classification,Minimize,0,14,24.2045,0,0,"[30.0, 40.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0, 0, 0]",Synchronized,0,platform
Random,Ordinal,Classification,Minimize,0.5,14,14.1571,0.1,0.2776,"[0.0, 10.0, 30.0, 20.0, 10.0]","[0, 0.0, 0.0, 0.5, 0.0]",Synchronized,0,platform
Random,Ordinal,Classification,Minimize,1,14,18.8308,0.3333,0.5853,"[10.0, 40.0, 0.0, 10.0, 10.0]","[1.0, 0.6666666666666666, 0, 0.0, 0.0]",Synchronized,0,platform
Random,Ordinal,Classification,Maximize,0,20,17.5598,0.6667,0.5853,"[10.0, 30.0, 10.0, 40.0, 10.0]","[1.0, 0.0, 1.0, 0.3333333333333333, 1.0]",Synchronized,0,platform
Random,Ordinal,Classification,Maximize,0.5,14,25.7477,0.55,0.6362,"[50.0, 10.0, 0.0, 0.0, 10.0]","[0.75, 1.0, 0, 0, 1.0]",Synchronized,0,platform
Random,Ordinal,Classification,Maximize,1,14,18.8308,0.6,0.6801,"[10.0, 30.0, 0.0, 30.0, 0.0]","[1.0, 1.0, 0, 1.0, 0]",Synchronized,0,platform
PPO,Ordinal,Classification,Minimize,0.0,244.0,40.8052,0.4707,0.0866,"[270.0, 270.0, 240.0, 250.0, 190.0]","[0.5454545454545454, 0.36363636363636365, 0.5, 0.5, 0.4444444444444444]",Synchronized,0,platform
DQN,Ordinal,Classification,Minimize,0.0,270.0,194.0162,0.5514,0.0988,"[310.0, 320.0, 360.0, 90.0]","[0.5, 0.5, 0.5806451612903226, 0.625]",Synchronized,0,platform
,,,,,,,,,,,,,